timestamp,iso_timestamp,record_number,operation_mode,state,ax,ay,az,pitch,roll,gx,gy,gz,latitude,longitude,gps_altitude,gps_time,pressure,temperature,agl_altitude,velocity,pyro1_state,pyro2_state,battery_voltage,wifi_rssi,kalman_altitude,kalman_vertical_velocity,communication_mode,raw_data
1768315471.968317,2026-01-13T17:44:31.968317,2663,0,0,-0.38,0.1,0.89,-22.52,6.92,-9.66,-3.84,-3.05,0,0,0,230839,853.06,27.32,-1.15,0,0,0,0,-87,-1.15,-2.45,BEACON,"{""record_number"": 2663, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -87, ""acc_data"": {""ax"": -0.38, ""ay"": 0.1, ""az"": 0.89, ""pitch"": -22.52, ""roll"": 6.92}, ""gyro_data"": {""gx"": -9.66, ""gy"": -3.84, ""gz"": -3.05}, ""gps_data"": {""latitude"": 0, ""longitude"": 0, ""gps_altitude"": 0, ""time"": 230839}, ""alt_data"": {""pressure"": 853.06, ""temperature"": 27.32, ""AGL"": -1.15, ""velocity"": 0, ""kalman_altitude"": -1.15, ""kalman_vertical_velocity"": -2.45}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 1, ""timeout_exceeded"": false, ""rssi"": -87}, ""communication_mode"": ""BEACON"", ""timestamp"": 115803, ""packets_received"": 253, ""kalman_data"": {""altitude"": -1.15, ""vertical_velocity"": -2.45}, ""kalman_altitude"": -1.15, ""kalman_vertical_velocity"": -2.45, ""pyroDrogue"": 0, ""pyroMain"": 0, ""pyro1_state"": 0, ""pyro2_state"": 0}"
1768315472.071317,2026-01-13T17:44:32.071317,2665,0,0,-0.38,0.11,0.89,-22.4,7,-8.78,-3.66,-3.23,0,0,0,231039,853.09,27.32,-1.44,0,0,0,0,-88,-1.44,-2.49,BEACON,"{""record_number"": 2665, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -88, ""acc_data"": {""ax"": -0.38, ""ay"": 0.11, ""az"": 0.89, ""pitch"": -22.4, ""roll"": 7}, ""gyro_data"": {""gx"": -8.78, ""gy"": -3.66, ""gz"": -3.23}, ""gps_data"": {""latitude"": 0, ""longitude"": 0, ""gps_altitude"": 0, ""time"": 231039}, ""alt_data"": {""pressure"": 853.09, ""temperature"": 27.32, ""AGL"": -1.44, ""velocity"": 0, ""kalman_altitude"": -1.44, ""kalman_vertical_velocity"": -2.49}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -88}, ""communication_mode"": ""BEACON"", ""timestamp"": 115915, ""packets_received"": 254, ""kalman_data"": {""altitude"": -1.44, ""vertical_velocity"": -2.49}, ""kalman_altitude"": -1.44, ""kalman_vertical_velocity"": -2.49, ""pyroDrogue"": 0, ""pyroMain"": 0, ""pyro1_state"": 0, ""pyro2_state"": 0}"
1768315472.178682,2026-01-13T17:44:32.178682,2666,0,0,-0.39,0.1,0.89,-22.58,6.71,-8.6,-2.56,-3.72,0,0,0,231039,853.06,27.32,-1.15,0,0,0,0,-86,-1.15,-2.45,BEACON,"{""record_number"": 2666, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -86, ""acc_data"": {""ax"": -0.39, ""ay"": 0.1, ""az"": 0.89, ""pitch"": -22.58, ""roll"": 6.71}, ""gyro_data"": {""gx"": -8.6, ""gy"": -2.56, ""gz"": -3.72}, ""gps_data"": {""latitude"": 0, ""longitude"": 0, ""gps_altitude"": 0, ""time"": 231039}, ""alt_data"": {""pressure"": 853.06, ""temperature"": 27.32, ""AGL"": -1.15, ""velocity"": 0, ""kalman_altitude"": -1.15, ""kalman_vertical_velocity"": -2.45}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -86}, ""communication_mode"": ""BEACON"", ""timestamp"": 116027, ""packets_received"": 255, ""kalman_data"": {""altitude"": -1.15, ""vertical_velocity"": -2.45}, ""kalman_altitude"": -1.15, ""kalman_vertical_velocity"": -2.45, ""pyroDrogue"": 0, ""pyroMain"": 0, ""pyro1_state"": 0, ""pyro2_state"": 0}"
1768315472.288682,2026-01-13T17:44:32.288682,2667,0,0,-0.38,0.1,0.89,-22.43,6.84,-8.69,-3.26,-3.99,0,0,0,231239,853.07,27.32,-1.22,0,0,0,0,-87,-1.22,-2.46,BEACON,"{""record_number"": 2667, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -87, ""acc_data"": {""ax"": -0.38, ""ay"": 0.1, ""az"": 0.89, ""pitch"": -22.43, ""roll"": 6.84}, ""gyro_data"": {""gx"": -8.69, ""gy"": -3.26, ""gz"": -3.99}, ""gps_data"": {""latitude"": 0, ""longitude"": 0, ""gps_altitude"": 0, ""time"": 231239}, ""alt_data"": {""pressure"": 853.07, ""temperature"": 27.32, ""AGL"": -1.22, ""velocity"": 0, ""kalman_altitude"": -1.22, ""kalman_vertical_velocity"": -2.46}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 1, ""timeout_exceeded"": false, ""rssi"": -87}, ""communication_mode"": ""BEACON"", ""timestamp"": 116143, ""packets_received"": 256, ""kalman_data"": {""altitude"": -1.22, ""vertical_velocity"": -2.46}, ""kalman_altitude"": -1.22, ""kalman_vertical_velocity"": -2.46, ""pyroDrogue"": 0, ""pyroMain"": 0, ""pyro1_state"": 0, ""pyro2_state"": 0}"
1768315472.488145,2026-01-13T17:44:32.488145,2670,0,0,-0.38,0.11,0.89,-22.67,7.03,-9.09,-3.72,-3.57,0,0,0,231438,853.11,27.32,-1.62,0,0,0,0,-88,-1.62,-2.53,BEACON,"{""record_number"": 2670, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -88, ""acc_data"": {""ax"": -0.38, ""ay"": 0.11, ""az"": 0.89, ""pitch"": -22.67, ""roll"": 7.03}, ""gyro_data"": {""gx"": -9.09, ""gy"": -3.72, ""gz"": -3.57}, ""gps_data"": {""latitude"": 0, ""longitude"": 0, ""gps_altitude"": 0, ""time"": 231438}, ""alt_data"": {""pressure"": 853.11, ""temperature"": 27.32, ""AGL"": -1.62, ""velocity"": 0, ""kalman_altitude"": -1.62, ""kalman_vertical_velocity"": -2.53}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -88}, ""communication_mode"": ""BEACON"", ""timestamp"": 116364, ""packets_received"": 257, ""kalman_data"": {""altitude"": -1.62, ""vertical_velocity"": -2.53}, ""kalman_altitude"": -1.62, ""kalman_vertical_velocity"": -2.53, ""pyroDrogue"": 0, ""pyroMain"": 0, ""pyro1_state"": 0, ""pyro2_state"": 0}"
1768315472.729456,2026-01-13T17:44:32.729456,2673,0,0,-0.39,0.11,0.89,-22.4,6.61,-9.3,-3.05,-3.84,0,0,0,231641,853.12,27.32,-1.73,0,0,0,0,-86,-1.72,-2.55,BEACON,"{""record_number"": 2673, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -86, ""acc_data"": {""ax"": -0.39, ""ay"": 0.11, ""az"": 0.89, ""pitch"": -22.4, ""roll"": 6.61}, ""gyro_data"": {""gx"": -9.3, ""gy"": -3.05, ""gz"": -3.84}, ""gps_data"": {""latitude"": 0, ""longitude"": 0, ""gps_altitude"": 0, ""time"": 231641}, ""alt_data"": {""pressure"": 853.12, ""temperature"": 27.32, ""AGL"": -1.73, ""velocity"": 0, ""kalman_altitude"": -1.72, ""kalman_vertical_velocity"": -2.55}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 1, ""timeout_exceeded"": false, ""rssi"": -86}, ""communication_mode"": ""BEACON"", ""timestamp"": 116590, ""packets_received"": 258, ""kalman_data"": {""altitude"": -1.72, ""vertical_velocity"": -2.55}, ""kalman_altitude"": -1.72, ""kalman_vertical_velocity"": -2.55, ""pyroDrogue"": 0, ""pyroMain"": 0, ""pyro1_state"": 0, ""pyro2_state"": 0}"
1768315472.818455,2026-01-13T17:44:32.818455,2674,0,0,-0.39,0.1,0.88,-22.67,6.46,-8.96,-3.45,-4.57,0,0,0,231844,853.06,27.31,-1.21,0,0,0,0,-87,-1.22,-2.47,BEACON,"{""record_number"": 2674, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -87, ""acc_data"": {""ax"": -0.39, ""ay"": 0.1, ""az"": 0.88, ""pitch"": -22.67, ""roll"": 6.46}, ""gyro_data"": {""gx"": -8.96, ""gy"": -3.45, ""gz"": -4.57}, ""gps_data"": {""latitude"": 0, ""longitude"": 0, ""gps_altitude"": 0, ""time"": 231844}, ""alt_data"": {""pressure"": 853.06, ""temperature"": 27.31, ""AGL"": -1.21, ""velocity"": 0, ""kalman_altitude"": -1.22, ""kalman_vertical_velocity"": -2.47}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -87}, ""communication_mode"": ""BEACON"", ""timestamp"": 116702, ""packets_received"": 259, ""kalman_data"": {""altitude"": -1.22, ""vertical_velocity"": -2.47}, ""kalman_altitude"": -1.22, ""kalman_vertical_velocity"": -2.47, ""pyroDrogue"": 0, ""pyroMain"": 0, ""pyro1_state"": 0, ""pyro2_state"": 0}"
1768315473.063292,2026-01-13T17:44:33.063292,2675,0,0,-0.38,0.1,0.89,-22.58,6.99,-9.15,-3.38,-3.87,0,0,0,231844,853.1,27.32,-1.55,0,0,0,0,-89,-1.54,-2.52,BEACON,"{""record_number"": 2675, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -89, ""acc_data"": {""ax"": -0.38, ""ay"": 0.1, ""az"": 0.89, ""pitch"": -22.58, ""roll"": 6.99}, ""gyro_data"": {""gx"": -9.15, ""gy"": -3.38, ""gz"": -3.87}, ""gps_data"": {""latitude"": 0, ""longitude"": 0, ""gps_altitude"": 0, ""time"": 231844}, ""alt_data"": {""pressure"": 853.1, ""temperature"": 27.32, ""AGL"": -1.55, ""velocity"": 0, ""kalman_altitude"": -1.54, ""kalman_vertical_velocity"": -2.52}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 1, ""timeout_exceeded"": false, ""rssi"": -89}, ""communication_mode"": ""BEACON"", ""timestamp"": 116815, ""packets_received"": 260, ""kalman_data"": {""altitude"": -1.54, ""vertical_velocity"": -2.52}, ""kalman_altitude"": -1.54, ""kalman_vertical_velocity"": -2.52, ""pyroDrogue"": 0, ""pyroMain"": 0, ""pyro1_state"": 0, ""pyro2_state"": 0}"
1768315473.119016,2026-01-13T17:44:33.119016,2677,0,0,-0.38,0.11,0.88,-22.31,6.58,-8.93,-1.52,-3.84,0,0,0,232043,853.09,27.32,-1.5,0,0,0,0,-87,-1.5,-2.52,BEACON,"{""record_number"": 2677, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -87, ""acc_data"": {""ax"": -0.38, ""ay"": 0.11, ""az"": 0.88, ""pitch"": -22.31, ""roll"": 6.58}, ""gyro_data"": {""gx"": -8.93, ""gy"": -1.52, ""gz"": -3.84}, ""gps_data"": {""latitude"": 0, ""longitude"": 0, ""gps_altitude"": 0, ""time"": 232043}, ""alt_data"": {""pressure"": 853.09, ""temperature"": 27.32, ""AGL"": -1.5, ""velocity"": 0, ""kalman_altitude"": -1.5, ""kalman_vertical_velocity"": -2.52}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 1, ""timeout_exceeded"": false, ""rssi"": -87}, ""communication_mode"": ""BEACON"", ""timestamp"": 116927, ""packets_received"": 261, ""kalman_data"": {""altitude"": -1.5, ""vertical_velocity"": -2.52}, ""kalman_altitude"": -1.5, ""kalman_vertical_velocity"": -2.52, ""pyroDrogue"": 0, ""pyroMain"": 0, ""pyro1_state"": 0, ""pyro2_state"": 0}"
1768315473.163887,2026-01-13T17:44:33.163887,2678,0,0,-0.39,0.11,0.89,-22.49,6.42,-9.88,-2.99,-3.9,0,0,0,232043,853.09,27.32,-1.51,0,0,0,0,-86,-1.51,-2.52,BEACON,"{""record_number"": 2678, ""operation_mode"": 0, ""state"": 0, ""battery_voltage"": 0, ""wifi_rssi"": -86, ""acc_data"": {""ax"": -0.39, ""ay"": 0.11, ""az"": 0.89, ""pitch"": -22.49, ""roll"": 6.42}, ""gyro_data"": {""gx"": -9.88, ""gy"": -2.99, ""gz"": -3.9}, ""gps_data"": {""latitude"": 0, ""longitude"": 0, ""gps_altitude"": 0, ""time"": 232043}, ""alt_data"": {""pressure"": 853.09, ""temperature"": 27.32, ""AGL"": -1.51, ""velocity"": 0, ""kalman_altitude"": -1.51, ""kalman_vertical_velocity"": -2.52}, ""chute_state"": {""pyro1_state"": 0, ""pyro2_state"": 0}, ""connection_status"": {""connected"": true, ""has_ever_connected"": true, ""packet_age_ms"": 0, ""timeout_exceeded"": false, ""rssi"": -86}, ""communication_mode"": ""BEACON"", ""timestamp"": 117039, ""packets_received"": 262, ""kalman_data"": {""altitude"": -1.51, ""vertical_velocity"": -2.52}, ""kalman_altitude"": -1.51, ""kalman_vertical_velocity"": -2.52, ""pyroDrogue"": 0, ""pyroMain"": 0, ""pyro1_state"": 0, ""pyro2_state"": 0}"
