# Simulation 3 (Up to date)
# 1243 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (30.4 m/s):  "Main Parachute"
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0,0,0,0
0.01,1.678e-4,0.067,19.864
0.02,0.002,0.414,49.539
0.03,0.009,1.058,79.234
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.024,1.851,79.546
0.05,0.046,2.648,79.857
0.06,0.077,3.449,80.169
0.07,0.115,4.252,80.478
0.08,0.162,5.058,80.787
0.09,0.217,5.868,81.096
0.1,0.279,6.68,81.403
0.11,0.35,7.496,81.711
0.12,0.429,8.314,82.018
0.13,0.517,9.136,82.323
0.14,0.612,9.961,82.628
0.15,0.716,10.788,82.933
0.159,0.819,11.559,83.213
0.168,0.922,12.28,83.475
# Event LAUNCHROD occurred at t=0.176 seconds
0.176,1.025,12.96,83.722
0.18,1.077,13.29,83.841
0.186,1.157,13.786,84.018
0.195,1.282,14.531,84.283
0.21,1.513,15.819,84.741
0.233,1.897,17.764,85.42
0.24,2.026,18.374,85.632
0.251,2.228,19.293,85.947
0.267,2.549,20.677,86.419
0.27,2.616,20.957,86.514
0.275,2.719,21.376,86.655
0.282,2.877,22.008,86.867
0.293,3.122,22.957,87.184
0.3,3.284,23.565,87.387
0.31,3.535,24.48,87.688
0.326,3.929,25.858,88.139
0.33,4.03,26.2,88.25
0.336,4.184,26.713,88.415
0.345,4.42,27.485,88.663
0.36,4.856,28.86,89.103
0.383,5.55,30.935,89.754
0.39,5.762,31.546,89.945
0.4,6.088,32.463,90.227
0.415,6.595,33.845,90.65
0.42,6.749,34.257,90.776
0.427,6.984,34.874,90.962
0.437,7.345,35.803,91.24
0.45,7.818,36.992,91.595
0.47,8.557,38.784,92.119
0.48,8.969,39.752,92.402
0.496,9.606,41.21,92.818
0.51,10.203,42.536,93.196
0.531,11.134,44.535,93.752
0.54,11.521,45.344,93.976
0.553,12.115,46.56,94.306
0.57,12.924,48.174,94.743
0.596,14.189,50.61,95.386
0.6,14.412,51.028,95.496
0.607,14.75,51.656,95.658
0.616,15.264,52.601,95.9
0.63,15.986,53.904,96.234
0.65,17.103,55.867,96.724
0.66,17.646,56.802,96.957
0.674,18.479,58.208,97.299
0.69,19.394,59.721,97.665
0.713,20.811,62.001,98.201
0.72,21.23,62.661,98.356
0.73,21.866,63.653,98.582
0.745,22.839,65.146,98.922
0.75,23.154,65.622,99.03
0.757,23.631,66.338,99.189
0.768,24.355,67.413,99.426
0.78,25.167,68.603,99.688
0.798,26.413,70.393,100.07
0.81,27.271,71.603,100.328
0.828,28.584,73.424,100.703
0.84,29.464,74.622,100.949
0.858,30.81,76.426,101.308
0.87,31.748,77.66,101.552
0.888,33.183,79.517,101.908
0.9,34.124,80.715,102.137
0.918,35.562,82.518,102.468
0.93,36.591,83.788,102.701
0.949,38.165,85.698,103.038
0.96,39.151,86.877,103.246
0.977,40.655,88.649,103.545
0.99,41.804,89.982,103.77
1.009,43.559,91.987,104.093
1.02,44.55,93.103,104.272
1.036,46.06,94.78,104.53
1.05,47.39,96.238,104.754
1.071,49.424,98.431,105.074
1.08,50.325,99.388,105.214
1.094,51.692,100.826,105.413
1.11,53.354,102.551,105.651
1.135,55.9,105.145,105.99
1.14,56.478,105.726,106.066
1.148,57.351,106.599,106.173
1.161,58.674,107.91,106.334
1.17,59.697,108.914,106.457
1.184,61.25,110.423,106.631
1.2,63.013,112.114,106.825
1.224,65.707,114.655,107.097
1.23,66.424,115.323,107.168
1.239,67.508,116.326,107.268
1.253,69.15,117.832,107.417
1.26,69.932,118.543,107.487
1.27,71.114,119.611,107.585
1.285,72.907,121.213,107.731
1.29,73.537,121.772,107.782
1.298,74.488,122.611,107.852
1.309,75.927,123.871,107.956
1.32,77.239,125.01,108.05
