KNO3 (%),Sorbitol (%),Mass KNO3 (g),Mass Sorbitol (g),C*,Density,Chamber Cp/Cv,Chamber Temp,Isp*,Molecular Weight
50.0,50.0,726.8,986.83,,,,,,
50.25,49.75,730.43,981.9,,,,,,
50.5,49.5,734.07,976.96,,,,,,
50.75,49.25,737.7,972.03,,,,,,
51.0,49.0,741.34,967.09,,,,,,
51.25,48.75,744.97,962.16,,,,,,
51.5,48.5,748.6,957.23,,,,,,
51.75,48.25,752.24,952.29,,,,,,
52.0,48.0,755.87,947.36,,,,,,
52.25,47.75,759.51,942.42,,,,,,
52.5,47.5,763.14,937.49,,,,,,
52.75,47.25,766.77,932.56,,,,,,
53.0,47.0,770.41,927.62,,,,,,
53.25,46.75,774.04,922.69,,,,,,
53.5,46.5,777.68,917.75,,,,,,
53.75,46.25,781.31,912.82,,,,,,
54.0,46.0,784.94,907.89,,,,,,
54.25,45.75,788.58,902.95,,,,,,
54.5,45.5,792.21,898.02,,,,,,
54.75,45.25,795.85,893.08,,,,,,
55.0,45.0,799.48,888.15,,,,,,
55.25,44.75,803.11,883.22,,,,,,
55.5,44.5,806.75,878.28,,,,,,
55.75,44.25,810.38,873.35,,,,,,
56.0,44.0,814.02,868.4,,,,,,
56.25,43.75,817.65,863.48,,,,,,
56.5,43.5,821.28,858.55,,,,,,
56.75,43.25,824.92,853.6,,,,,,
57.0,43.0,828.55,848.68,,,,,,
57.25,42.75,832.19,843.73,,,,,,
57.5,42.5,835.82,838.81,,,,,,
57.75,42.25,839.45,833.88,,,,,,
58.0,42.0,843.09,828.93,,,,,,
58.25,41.75,846.72,824.01,,,,,,
58.5,41.5,850.36,819.06,,,,,,
58.75,41.25,853.99,814.13,,,,,,
59.0,41.0,857.62,809.21,,,,,,
59.25,40.75,861.26,804.26,,,,,,
59.5,40.5,864.89,799.33,,,,,,
59.75,40.25,868.53,794.39,,,,,,
60.0,40.0,872.16,789.46,,,,,,
60.25,39.75,875.79,784.53,,,,,,
60.5,39.5,879.43,779.59,,,,,,
60.75,39.25,883.06,774.66,,,,,,
61.0,39.0,886.7,769.72,,,,,,
61.25,38.75,890.33,764.79,,,,,,
61.5,38.5,893.96,759.86,,,,,,
61.75,38.25,897.6,754.92,,,,,,
62.0,38.0,901.23,749.99,,,,,,
